"","word","value"
"152","actuality",-0.25
"153","acuity",0.6
"154","acumen",0.5
"155","acute",-0.25
"156","adapt",0.8
"157","adaptable",0.5
"158","adaptive",0.8
"159","addict",-1
"160","addicted",-0.5
"161","addicting",-0.8
"162","addiction",-1
"163","addicts",-1
"164","additional",0.25
"165","addled",-0.6
"166","addresses",-0.25
"167","adept",1
"168","adequacy",0.8
"169","adequate",0.5
"170","adhered",0.6
"171","adjudicate",0.4
"172","adjunct",-0.25
"173","adjustable",0.4
"174","adjustments",0.4
"175","admirable",0.5
"176","admirably",1
"177","admiration",0.75
"178","admire",1
"179","admired",0.5
"180","admirer",0.5
"181","admires",1
"182","admiring",0.75
"183","admiringly",1
"184","admissible",0.6
"185","admit",0.6
"186","admits",0.6
"187","admitted",0.6
"188","admonish",-0.5
"189","admonished",-0.6
"190","admonishingly",-0.6
"191","admonishment",-0.6
"192","admonition",-0.5
"193","adolescent",0.25
"194","adopt",0.5
"195","adopts",0.4
"196","adorable",0.75
"197","adorably",1
"198","adoration",1
"199","adore",0.75
"200","adored",0.5
"201","adorer",1
"202","adores",0.5
"203","adoring",1
"204","adoringly",1
"205","adorn",0.4
"206","adorned",0.4
"207","adrenaline",-0.25
"208","adrift",-0.8
"209","adroit",0.6
"210","adroitly",0.6
"211","adulate",0.25
"212","adulation",0.25
"213","adulatory",0.25
"214","adulterate",-1
"215","adulterated",-0.5
"216","adulteration",-1
"217","adultery",-1
"218","advance",0.8
"219","advanced",0.75
"220","advancement",1
"221","advances",0.8
"222","advantage",0.75
"223","advantageous",0.5
"224","advantageously",1
"225","advantages",0.75
"226","advent",0.8
"227","adventure",0.5
"228","adventures",0.25
"229","adventuresome",1
"230","adventurous",0.75
"231","adversarial",-0.6
"232","adversaries",-0.6
"233","adversary",-0.75
"234","adverse",-0.5
"235","adversity",-0.5
"236","advisable",1
"237","advise",0.8
"238","adviser",0.6
"239","advocacy",0.6
"240","advocate",0.6
"241","advocated",0.6
"242","advocates",0.6
"243","aesthetic",0.25
"244","aesthetics",0.25
"245","affability",0.8
"246","affable",0.5
"247","affably",0.8
"248","affectation",-0.4
"249","affectations",-0.4
"250","affection",1
"251","affectionate",0.5
"252","affiliated",0.25
"253","affinity",0.8
"254","affirm",0.5
"255","affirmation",0.5
"256","affirmative",0.5
"257","affirmatively",0.8
"258","afflict",-0.5
"259","afflicted",-0.5
"260","affliction",-0.75
"261","afflictive",-1
"262","affluence",0.5
"263","affluent",0.5
"264","afford",0.5
"265","affordable",0.8
"266","affordably",0.8
"267","affront",-0.75
"268","affronted",-1
"269","aficionado",0.8
"270","afraid",-0.75
"271","aftermath",-0.5
"272","aftertaste",-0.4
"273","ageless",0.6
"274","aggravate",-0.5
"275","aggravated",-0.75
"276","aggravates",-1
"277","aggravating",-0.75
"278","aggravation",-0.5
"279","aggression",-0.75
"280","aggressions",-1
"281","aggressive",-1
"282","aggressively",-1
"283","aggressiveness",-1
"284","aggressor",-0.5
"285","aggrieved",-0.5
"286","aghast",-1
"287","agile",0.75
"288","agilely",0.8
"289","agility",0.75
"290","agitated",-0.5
"291","agitation",-1
"292","aglow",0.8
"293","agog",-0.25
"294","agonies",-1
"295","agonise",-1
"296","agonises",-1
"297","agonize",-0.5
"298","agonized",-1
"299","agonizes",-1
"300","agonizing",-1
"301","agonizingly",-1
"302","agony",-0.5
"303","agree",0.5
"304","agreeable",0.75
"305","agreeableness",1
"306","agreeably",1
"307","agreed",0.5
"308","agreeing",1
"309","agreement",0.5
"310","agrees",0.5
"311","aground",-0.5
"312","ahead",0.8
"313","aid",1
"314","aiding",0.1
"315","ail",-0.5
"316","ailing",-0.5
"317","ailment",-1
"318","aimless",-0.5
"319","alarm",-0.75
"320","alarmed",-0.75
"321","alarming",-0.75
"322","alarmingly",-0.6
"323","alarmist",-0.6
"324","alarmists",-0.6
"325","alas",-0.4
"326","alcoholism",-1
"327","alert",-0.25
"328","alertness",0.6
"329","alien",-0.6
"330","alienate",-0.5
"331","alienated",-0.75
"332","alienating",-1
"333","alienation",-0.75
"334","alimentation",0.6
"335","alimony",-0.4
"336","alive",0.5
"337","allay",0.6
"338","allegation",-0.5
"339","allegations",-0.8
"340","allege",-0.5
"341","alleges",-0.6
"342","allegiance",0.5
"343","allergic",-0.5
"344","allergies",-0.5
"345","allergy",-1
"346","alleviate",1
"347","alleviation",1
"348","allied",1
"349","allies",0.25
"350","allow",0.25
"351","allowable",0.8
"352","allure",0.8
"353","alluring",0.5
"354","alluringly",0.8
"355","ally",0.8
"356","almighty",1
"357","aloha",0.4
"358","alone",-0.6
"359","aloof",-0.5
"360","alter",-0.25
"361","altercation",-0.75
"362","altruistic",1
"363","altruistically",1
"364","amaze",0.5
"365","amazed",0.5
"366","amazement",0.8
"367","amazes",0.5
"368","amazing",0.5
"369","amazingly",0.5
"370","ambiguous",-0.5
"371","ambition",0.6
"372","ambitions",-0.25
"373","ambitious",0.5
"374","ambitiously",0.8
"375","ambivalence",-0.25
"376","ambivalent",-0.5
"377","ambrosia",0.4
"378","ambush",-0.5
"379","ameliorate",0.5
"380","amen",0.6
"381","amenable",0.5
"382","amend",0.8
"383","amends",0.8
"384","amenity",0.25
"385","amiability",1
"386","amiable",0.5
"387","amiably",0.8
"388","amicability",1
"389","amicable",0.5
"390","amicably",1
"391","amiss",-1
"392","amity",-0.4
"393","amnesia",-0.6
"394","amnesty",1
"395","amour",0.8
"396","amphetamines",-0.4
"397","ample",1
"398","amply",1
"399","amputate",-1
"400","amputated",-1
"401","amuse",0.75
"402","amused",0.5
"403","amusement",0.5
"404","amusements",0.25
"405","amusing",0.5
"406","amusingly",0.8
"407","anal",-0.6
"408","analyst",0.25
"409","analyze",0.25
"410","analyzing",0.25
"411","anaphylactic",-0.8
"412","anarchism",-0.5
"413","anarchist",-0.5
"414","anarchistic",-0.8
"415","anarchy",-0.5
"416","anathema",-1
"417","ancestor",0.25
"418","ancestors",0.25
"419","ancient",0.25
"420","anecdotes",0.4
"421","anemic",-1
"422","angel",0.5
"423","angelic",0.75
"424","anger",-0.75
"425","angers",-1
"426","angina",-0.25
"427","angling",0.25
"428","angrily",-0.5
"429","angriness",-1
"430","angry",-0.75
"431","angst",-1
"432","anguish",-1
"433","anguished",-1
"434","animalistic",-0.8
"435","animated",0.4
"436","animation",0.25
"437","animations",0.4
"438","animosity",-0.75
"439","animus",-0.4
"440","annihilate",-0.5
"441","annihilated",-1
"442","annihilation",-0.5
"443","annoy",-0.75
"444","annoyance",-1
"445","annoyances",-1
"446","annoyed",-0.5
"447","annoying",-0.75
"448","annoyingly",-1
"449","annoys",-0.5
"450","annul",-0.25
"451","annulment",-0.25
"452","anointed",0.6
"453","anomalous",-0.25
"454","anomaly",-0.5
"455","anonymity",-0.25
"456","antagonism",-0.5
"457","antagonist",-0.75
"458","antagonistic",-0.75
"459","antagonize",-0.5
"460","antediluvian",-0.4
"461","anthems",0.4
"462","antibiotics",0.4
"463","antichrist",-1
"464","anticipating",-0.25
"465","anticipation",0.25
"466","antidote",0.8
"467","antipathy",-0.5
"468","antiquated",-0.5
"469","antique",0.25
"470","antiseptic",0.4
"471","antisocial",-1
"472","antithesis",-0.6
"473","antithetical",-0.4
"474","antsy",-0.8
"475","anxieties",-1
"476","anxiety",-1
"477","anxious",-0.75
"478","anxiously",-1
"479","anxiousness",-1
"480","apathetic",-0.75
"481","apathetically",-0.6
"482","apathy",-1
"483","apeshit",-0.8
"484","aplomb",0.8
"485","apocalypse",-1
"486","apocalyptic",-0.5
"487","apologetic",0.6
"488","apologist",-0.4
"489","apologists",-0.4
"490","apologize",0.8
"491","apologized",0.8
"492","apologizes",0.8
"493","apologizing",0.8
"494","apology",0.6
"495","apotheosis",0.8
"496","appall",-1
"497","appalled",-0.5
"498","appalling",-0.75
"499","appallingly",-1
"500","appeal",0.6
"501","appealing",0.5
"502","appearing",0.25
"503","appease",0.6
"504","appeased",0.6
"505","appeases",0.6
"506","appeasing",0.6
"507","applaud",0.5
"508","applauded",0.8
"509","applauding",0.8
"510","applauds",0.5
"511","applause",0.5
"512","appraisal",0.25
"513","appreciable",0.8
"514","appreciate",0.5
"515","appreciated",0.75
"516","appreciates",0.75
"517","appreciating",0.8
"518","appreciation",0.75
"519","appreciative",1
"520","appreciatively",1
"521","apprehends",-0.8
"522","apprehension",-0.75
"523","apprehensions",-1
"524","apprehensive",-0.75
"525","apprehensively",-1
"526","approbation",0.6
"527","appropriate",1
"528","appropriation",-0.4
"529","approval",1
"530","approve",0.5
"531","approved",1
"532","approves",1
"533","approving",1
"534","apropos",0.6
"535","apt",0.5
"536","aptitude",0.4
"537","arbitrary",-0.5
"538","arcade",0.6
"539","arcane",-0.4
"540","archaic",-0.5
"541","archival",0.25
"542","ardent",0.75
"543","ardently",0.4
"544","ardor",0.75
"545","arduous",-0.5
"546","arduously",-1
"547","arguably",-0.4
"548","argue",-0.5
"549","argument",-0.8
"550","argumentative",-0.5
"551","arid",-0.25
"552","aristocratic",-0.25
"553","arouse",0.8
"554","aroused",0.8
"555","arraignment",-0.6
"556","arrears",-0.8
"557","arrest",-0.5
"558","arrested",-0.5
"559","arresting",-0.6
"560","arrestingly",-0.6
"561","arrests",-0.6
"562","arrogance",-0.5
"563","arrogant",-0.75
"564","arrogantly",-0.8
"565","arsenic",-1
"566","arson",-1
"567","art",0.6
"568","articulate",0.5
"569","articulation",0.25
"570","artillery",-0.6
"571","artisan",0.6
"572","artisans",0.6
"573","artist",0.6
"574","artistic",0.6
"575","artwork",0.6
"576","ascendancy",0.1
"577","ascension",0.5
"578","ascent",0.8
"579","ash",-0.4
"580","ashamed",-1
"581","ashes",-0.4
"582","asinine",-0.5
"583","aspersions",-0.6
"584","asphyxiated",-1
"585","aspiration",0.5
"586","aspirations",0.8
"587","aspire",0.5
"588","aspiring",1
"589","ass",-0.5
"590","assail",-0.5
"591","assailant",-1
"592","assassin",-0.5
"593","assassinate",-0.5
"594","assassination",-0.5
"595","assassinations",-1
"596","assassins",-1
"597","assault",-0.75
"598","assaulted",-1
"599","assembled",0.25
"600","assembly",0.25
"601","assent",0.4
"602","asses",-0.6
"603","asset",0.5
"604","assets",0.5
"605","assfucking",-1
"606","asshole",-0.75
"607","assist",0.8
"608","assistance",0.8
"609","assorted",0.25
"610","assuage",1
"611","assurance",0.5
"612","assurances",0.8
"613","assure",0.8
"614","assured",0.8
"615","assuredly",0.8
"616","assures",0.8
"617","assuring",0.8
"618","astonish",0.25
"619","astonished",0.5
"620","astonishing",0.5
"621","astonishingly",0.5
"622","astonishment",0.5
"623","astound",0.5
"624","astounded",0.5
"625","astounding",0.75
"626","astoundingly",0.5
"627","astray",-0.5
"628","astringent",-0.4
"629","astronaut",0.4
"630","astute",1
"631","astutely",1
"632","asunder",-0.6
"633","asymmetrically",-0.4
"634","atheism",-0.1
"635","athlete",0.6
"636","athletic",0.5
"637","atone",-0.25
"638","atonement",-0.25
"639","atrocious",-0.5
"640","atrocities",-0.5
"641","atrocity",-0.5
"642","atrophy",-0.5
"643","attack",-0.75
"644","attacked",-1
"645","attacker",-0.6
"646","attacking",-0.5
"647","attacks",-0.5
"648","attain",0.8
"649","attainable",0.8
"650","attainment",0.8
"651","attendance",0.4
"652","attendant",0.4
"653","attendants",0.4
"654","attention",0.25
"655","attentive",0.5
"656","attenuated",-0.25
"657","attenuation",-0.25
"658","attorney",-0.25
"659","attract",0.8
"660","attracted",0.8
"661","attracting",0.8
"662","attraction",1
"663","attractions",0.8
"664","attractive",0.5
"665","attractively",1
"666","attractiveness",1
"667","attracts",0.8
"668","attune",0.4
"669","audacious",-0.25
"670","audaciously",-0.25
"671","audaciousness",-0.25
"672","audacity",-0.5
"673","audible",0.1
"674","audibly",0.4
"675","augment",0.4
"676","aunt",0.25
"677","auspicious",0.5
"678","austere",-0.5
"679","austerity",-0.6
"680","authentic",0.5
"681","authenticity",0.1
"682","authoritarian",-0.8
"683","authoritative",0.25
"684","authority",0.5
"685","authorization",0.4
"686","authorized",0.6
"687","autocratic",-0.5
"688","autonomous",0.6
"689","autopsy",-0.6
"690","available",0.8
"691","avalanche",-0.5
"692","avarice",-0.5
"693","avenge",0.25
"694","avenger",0.25
"695","avenging",0.25
"696","averse",-0.5
"697","aversion",-0.5
"698","avert",-0.25
"699","averted",-0.5
"700","averts",-0.6
"701","avid",0.75
"702","avidly",0.8
"703","avoid",-0.5
"704","avoidance",-0.8
"705","avoided",-0.5
"706","avoids",-0.8
"707","await",-0.5
"708","awaited",-0.25
"709","awaits",-0.25
"710","awaken",0.8
"711","awakened",-0.25
"712","award",0.75
"713","awarded",0.5
"714","awards",0.5
"715","awed",0.4
"716","awesome",0.6
"717","awesomely",1
"718","awesomeness",1
"719","awestruck",0.6
"720","awful",-0.75
"721","awfully",-1
"722","awfulness",-1
"723","awkward",-0.5
"724","awkwardness",-0.75
"725","awol",-0.8
"726","awry",-1
"727","axe",-0.4
"728","axed",-0.6
"729","axes",-0.25
"730","babble",-0.5
"731","babbling",-0.5
"732","baby",0.6
"733","bachelor",0.6
"734","backache",-1
"735","backed",0.25
"736","backpedaled",-0.8
"737","backsides",-0.4
"738","backward",-0.5
"739","backwardness",-0.8
"740","backwards",-0.4
"741","backwater",-0.4
"742","bacteria",-0.6
"743","bacterium",-0.6
"744","bad",-0.75
"745","badass",0.4
"746","badger",-0.5
"747","badly",-0.75
"748","badness",-1
"749","baffle",-0.6
"750","baffled",-0.6
"751","bafflement",-0.6
"752","baffling",-0.6
"753","bailiff",-0.4
"754","bailing",-0.4
"755","bailout",-0.25
"756","balance",0.6
"757","balanced",0.5
"758","balk",-0.5
"759","ballet",0.6
"760","ballooned",-0.25
"761","ballot",0.25
"762","bamboozle",-0.25
"763","bamboozled",-0.25
"764","bamboozles",-0.25
"765","ban",-0.5
"766","banal",-1
"767","bandage",-0.25
"768","bandit",-0.8
"769","bane",-0.5
"770","banish",-0.75
"771","banished",-1
"772","banishment",-0.5
"773","bankrupt",-0.75
"774","bankruptcy",-1
"775","bankrupted",-1
"776","banned",-1
"777","banquet",0.6
"778","banshee",-0.25
"779","barb",-0.25
"780","barbarian",-0.5
"781","barbaric",-0.5
"782","barbarically",-1
"783","barbarism",-1
"784","barbarity",-1
"785","barbarous",-1
"786","barbarously",-1
"787","bargain",0.75
"788","barred",-0.5
"789","barren",-0.5
"790","barricade",-0.6
"791","barrier",-0.5
"792","baseless",-0.5
"793","bash",-0.6
"794","bashed",-0.5
"795","bashful",-0.25
"796","bashing",-0.5
"797","basking",0.8
"798","bastard",-1
"799","bastards",-0.75
"800","bastion",-0.25
"801","bath",0.4
"802","battered",-0.5
"803","battering",-0.4
"804","battle",-0.5
"805","battled",-0.6
"806","battlefield",-0.6
"807","battles",-0.6
"808","battling",-0.6
"809","bawdy",-0.25
"810","bawl",-0.8
"811","bayonet",-0.6
"812","bazaar",-0.25
"813","beachfront",0.25
"814","beaded",-0.25
"815","beamed",0.8
"816","beaming",0.5
"817","beast",-0.5
"818","beastly",-0.5
"819","beaten",-1
"820","beating",-0.5
"821","beauteous",0.8
"822","beauties",0.25
"823","beautification",0.8
"824","beautiful",0.75
"825","beautifully",1
"826","beautify",0.75
"827","beauty",0.5
"828","beckon",0.6
"829","beckoned",0.5
"830","beckoning",0.6
"831","beckons",0.6
"832","bedlam",-0.8
"833","bedrooms",0.25
"834","beekeeper",0.25
"835","befitting",0.4
"836","befriend",1
"837","befuddled",-0.6
"838","beg",-0.75
"839","beggar",-0.5
"840","begging",-0.5
"841","begrudgingly",-1
"842","behemoth",-0.6
"843","beholden",-0.4
"844","belabor",-0.8
"845","belated",-0.5
"846","beleaguer",-0.6
"847","belie",-0.6
"848","believable",0.8
"849","believer",0.6
"850","believers",0.8
"851","believing",0.8
"852","belittle",-0.75
"853","belittled",-0.5
"854","belittling",-1
"855","bellicose",-0.8
"856","belligerence",-1
"857","belligerent",-0.5
"858","belligerently",-1
"859","beloved",0.5
"860","bemoan",-1
"861","bemoaning",-1
"862","bemused",-0.25
"863","benefactor",0.75
"864","beneficent",0.5
"865","beneficial",0.5
"866","beneficially",1
"867","beneficiary",0.6
"868","benefit",0.75
"869","benefits",1
"870","benefitted",1
"871","benefitting",1
"872","benevolence",0.5
"873","benevolent",0.5
"874","benevolently",1
"875","benign",0.25
"876","bent",-0.4
"877","berate",-0.6
"878","bereave",-0.5
"879","bereaved",-0.5
"880","bereavement",-0.5
"881","bereaves",-1
"882","bereaving",-1
"883","bereft",-0.5
"884","berserk",-0.5
"885","beset",-0.6
"886","besiege",-0.8
"887","besmirch",-0.8
"888","best",0.5
"889","bestial",-0.5
"890","bestknown",0.6
"891","bestowed",0.8
"892","bestseller",0.8
"893","bestsellers",0.8
"894","bestselling",0.8
"895","betray",-0.75
"896","betrayal",-0.75
"897","betrayals",-1
"898","betrayed",-1
"899","betrayer",-1
"900","betraying",-0.5
"901","betrays",-0.5
"902","betrothed",0.25
"903","better",0.8
"904","bettered",1
"905","betterknown",0.6
"906","betterment",1
"907","bewail",-1
"908","beware",-0.5
"909","bewilder",-0.6
"910","bewildered",-0.5
"911","bewildering",-0.6
"912","bewilderingly",-0.6
"913","bewilderment",-0.5
"914","bias",-0.75
"915","biased",-1
"916","bicker",-0.8
"917","bickering",-0.5
"918","biding",-0.25
"919","big",0.25
"920","bigot",-1
"921","bigoted",-1
"922","bigotry",-1
"923","bile",-0.5
"924","bilingual",0.4
"925","biopsy",-0.6
"926","birth",0.6
"927","birthday",0.8
"928","birthed",0.6
"929","bitch",-1
"930","bitches",-0.5
"931","bitchy",-0.5
"932","bite",-0.6
"933","bitter",-0.5
"934","bitterly",-1
"935","bitterness",-0.75
"936","bizarre",-0.75
"937","blab",-0.8
"938","blabber",-0.8
"939","black",-0.25
"940","blackened",-0.6
"941","blackmail",-0.5
"942","blackness",-0.25
"943","blackout",-0.25
"944","blah",-0.5
"945","blame",-0.75
"946","blamed",-0.5
"947","blameful",-1
"948","blameless",0.5
"949","blames",-1
"950","blameworthy",-1
"951","blaming",-1
"952","blanch",-0.25
"953","bland",-0.5
"954","blankly",-0.4
"955","blare",-0.6
"956","blaspheme",-0.5
"957","blasphemer",-1
"958","blasphemous",-0.5
"959","blasphemy",-0.5
"960","blast",-0.4
"961","blasted",-0.4
"962","blasts",-0.4
"963","blatant",-0.5
"964","blatantly",-0.25
"965","blather",-0.5
"966","blaze",-0.25
"967","blazing",-0.25
"968","bleak",-0.5
"969","bleakly",-1
"970","bleakness",-1
"971","bled",-1
"972","bleed",-0.5
"973","bleeding",-0.5
"974","bleeds",-0.5
"975","blemish",-0.5
"976","bless",1
"977","blessed",1
"978","blesses",0.8
"979","blessing",0.75
"980","blessings",0.5
"981","blight",-1
"982","blighted",-1
"983","blind",-0.75
"984","blinded",-1
"985","blindfolded",-0.6
"986","blinding",-0.8
"987","blindingly",-0.8
"988","blindly",-1
"989","blindness",-0.8
"990","blindside",-0.6
"991","bliss",0.75
"992","blissful",0.75
"993","blissfully",1
"994","blister",-0.5
"995","blistering",-0.5
"996","blithe",0.5
"997","bloat",-0.6
"998","bloated",-0.75
"999","blob",-0.25
"1000","block",-0.4
"1001","blockade",-0.6
"1002","blockage",-0.6
"1003","blockbuster",0.5
"1004","blocked",-0.4
"1005","blockhead",-0.8
"1006","blocking",-0.5
"1007","blocks",-0.6
"1008","bloodless",-0.4
"1009","bloodshed",-0.75
"1010","bloodshot",-0.8
"1011","bloodthirsty",-0.5
"1012","bloody",-0.75
"1013","bloomed",0.8
"1014","blossom",0.5
"1015","blossoming",0.8
"1016","blot",-0.25
"1017","blow",-0.4
"1018","blowhards",-0.8
"1019","blowout",-0.6
"1020","blubbery",-0.6
"1021","bluff",-0.4
"1022","blunder",-0.5
"1023","blundering",-1
"1024","blunders",-1
"1025","blunt",-0.5
"1026","blur",-0.5
"1027","blurred",-0.5
"1028","blurring",-0.4
"1029","blurry",-0.5
"1030","blurs",-0.5
"1031","blurt",-0.4
"1032","blurting",-0.4
"1033","blush",0.6
"1034","boastful",-0.5
"1035","bodyguard",-0.25
"1036","bog",-0.5
"1037","bogus",-0.75
"1038","bohemian",0.6
"1039","boilerplate",-0.25
"1040","bold",0.25
"1041","boldly",0.25
"1042","boldness",0.6
"1043","bolster",0.25
"1044","bomb",-0.75
"1045","bombard",-0.5
"1046","bombardiers",-0.4
"1047","bombardment",-0.5
"1048","bombastic",-0.6
"1049","bombed",-1
"1050","bombers",-0.6
"1051","bombing",-1
"1052","bonanza",0.8
"1053","bondage",-0.5
"1054","bonkers",-0.4
"1055","bonus",0.5
"1056","bonuses",0.8
"1057","boob",-0.25
"1058","booby",-0.5
"1059","bookish",0.6
"1060","boom",-0.4
"1061","booming",-0.25
"1062","boon",0.6
"1063","boost",0.5
"1064","boosted",0.25
"1065","boosting",0.25
"1066","boosts",0.25
"1067","booze",-0.25
"1068","bore",-0.75
"1069","bored",-0.5
"1070","boredom",-0.5
"1071","boring",-1
"1072","borrower",-0.25
"1073","bossed",-0.6
"1074","bossy",-1
"1075","botch",-1
"1076","botched",-1
"1077","botching",-1
"1078","bother",-0.75
"1079","bothered",-0.5
"1080","bothering",-0.75
"1081","bothers",-0.5
"1082","bothersome",-0.5
"1083","botox",-0.4
"1084","bottomless",-0.25
"1085","bound",-0.25
"1086","boundless",0.4
"1087","bountiful",0.5
"1088","bounty",0.5
"1089","bouquet",0.8
"1090","bout",-0.6
"1091","bouts",-0.6
"1092","bowed",-0.25
"1093","bowels",-0.4
"1094","boy",0.25
"1095","boycott",-0.75
"1096","boycotted",-0.8
"1097","boycotting",-0.8
"1098","boycotts",-0.8
"1099","boyish",0.6
"1100","bracing",-0.25
"1101","brackish",-0.25
"1102","brag",-0.25
"1103","braggart",-0.8
"1104","bragger",-0.8
"1105","brainiest",0.6
"1106","brainless",-0.5
"1107","brains",0.6
"1108","brainstorms",0.6
"1109","brainwash",-1
"1110","brainwashing",-1
"1111","brainy",0.4
"1112","brandishing",-0.6
"1113","brash",-0.5
"1114","brashly",-1
"1115","brashness",-1
"1116","brat",-1
"1117","bratty",-1
"1118","bravado",-0.5
"1119","brave",0.5
"1120","bravely",1
"1121","bravery",0.5
"1122","bravo",1
"1123","brawl",-0.5
"1124","brazen",-0.5
"1125","brazenly",-0.25
"1126","brazenness",-0.25
"1127","breach",-0.75
"1128","break",-0.25
"1129","breakdown",-0.75
"1130","breakfast",0.6
"1131","breaking",-0.6
"1132","breakneck",-0.25
"1133","breaks",-0.4
"1134","breakthrough",0.5
"1135","breakthroughs",0.8
"1136","breakup",-0.75
"1137","breakups",-0.5
"1138","breathtaking",0.5
"1139","breathtakingly",1
"1140","breeze",0.1
"1141","bribe",-0.75
"1142","bribery",-0.5
"1143","bridal",0.6
"1144","bride",0.6
"1145","bridegroom",0.6
"1146","bridesmaid",0.6
"1147","brigade",-0.25
"1148","bright",0.5
"1149","brighten",0.5
"1150","brightened",1
"1151","brightens",1
"1152","brighter",0.6
"1153","brightest",0.75
"1154","brightly",0.6
"1155","brightness",0.5
"1156","brilliance",0.5
"1157","brilliances",0.8
"1158","brilliant",1
"1159","brilliantly",1
"1160","brimstone",-0.5
"1161","brisk",0.5
"1162","bristle",-0.5
"1163","bristled",-0.6
"1164","brittle",-0.6
"1165","broader",0.4
"1166","broadly",0.4
"1167","broke",-0.75
"1168","broken",-0.75
"1169","brokenhearted",-0.6
"1170","brokering",-0.25
"1171","brood",-0.6
"1172","brooding",-0.8
"1173","brothel",-0.8
"1174","brother",0.4
"1175","brotherhood",1
"1176","brotherhoods",0.1
"1177","brotherly",0.75
"1178","browbeat",-1
"1179","browse",0.4
"1180","bruise",-0.5
"1181","bruised",-0.5
"1182","bruises",-0.5
"1183","bruising",-1
"1184","brunt",-0.6
"1185","brusque",-0.8
"1186","brutal",-0.5
"1187","brutalising",-1
"1188","brutalities",-1
"1189","brutality",-0.75
"1190","brutalize",-1
"1191","brutalizing",-1
"1192","brutally",-1
"1193","brute",-0.5
"1194","brutish",-1
"1195","buckled",-0.25
"1196","buddy",1
"1197","budge",-0.4
"1198","bug",-0.5
"1199","bugging",-0.5
"1200","build",0.1
"1201","building",0.1
"1202","bulged",-0.25
"1203","bulging",-0.4
"1204","bulletproof",0.5
"1205","bullied",-0.5
"1206","bullies",-1
"1207","bullish",-0.8
"1208","bullshit",-0.5
"1209","bully",-0.75
